,precision,recall,f1-score,support
Alto,0.0,0.0,0.0,2.0
Bajo,1.0,0.9130434782608695,0.9545454545454546,23.0
Medio,0.8918918918918919,1.0,0.9428571428571428,33.0
accuracy,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207
macro avg,0.6306306306306306,0.6376811594202899,0.6324675324675325,58.0
weighted avg,0.9040074557315937,0.9310344827586207,0.9149798477384684,58.0
